GeneratedStimCST1,GeneratedStimCST2,GeneratedStimCST3,GeneratedStimCST4,GeneratedStimCST5,GeneratedStimCST6,GeneratedStimCST7,GeneratedStimCST8,GeneratedStimCST9,GeneratedStimCST10,GeneratedStimCST11,GeneratedStimCST12,GeneratedStimCST13,GeneratedStimCST14,GeneratedStimCST15,GeneratedStimCST16,GeneratedStimCST17,GeneratedStimCST18,GeneratedStimCST19,GeneratedStimCST20,GeneratedStimCST21,GeneratedStimCST22,GeneratedStimCST23,GeneratedStimCST24,GeneratedStimCST25,GeneratedStimCST26,GeneratedStimCST27,GeneratedStimCST28,GeneratedStimCST29,GeneratedStimCST30,GeneratedStimCST31,GeneratedStimCST32,GeneratedStimCST33,GeneratedStimCST34,GeneratedStimCST35,GeneratedStimCST36,GeneratedStimCST37,GeneratedStimCST38,GeneratedStimCST39,GeneratedStimCST40
9,37,3,17,22,3,-3,3,57,100,80,126,138,137,149,146,145,168,189,211,222,204,216,241,249,265,276,272,277,266,280,264,248,237,193,215,221,210,231,206
-1,-4,1,7,-6,-6,-7,3,20,37,24,26,9,-7,-7,17,6,12,9,26,11,12,21,38,61,63,42,31,16,52,43,55,52,66,55,35,14,22,20,18
22,27,30,55,43,54,68,64,68,51,35,37,48,88,78,82,81,53,47,20,34,21,23,15,21,12,20,32,58,56,24,12,33,18,33,35,57,28,26,9
44,57,78,63,57,53,70,67,78,48,43,31,8,16,21,22,3,20,26,22,23,20,-6,-9,-21,-35,-52,-60,-89,-74,-65,-65,-65,-76,-61,-62,-72,-51,-54,-62
-4,-16,-32,6,32,37,19,6,4,17,-3,-37,-58,-53,-46,-39,-40,-37,-43,-30,-50,-42,-54,-59,-50,-34,-50,-30,-20,-20,-23,-25,-29,-28,-27,-14,10,17,15,25
3,-12,3,9,11,19,24,10,9,7,-0,25,13,6,-4,-21,-23,-27,-3,-6,-22,3,22,19,-3,-9,-10,-6,-9,-2,5,-14,-27,-38,-45,-49,-48,-93,-99,-80
-15,-1,5,5,9,-14,-15,10,12,13,3,3,7,14,9,6,37,3,37,43,59,34,26,23,29,5,13,-5,-3,7,13,29,45,36,40,27,8,22,23,22
14,24,30,49,64,68,58,49,67,44,44,15,31,45,45,45,8,17,-15,-49,-47,-61,-54,-43,-30,-40,-32,-30,-17,-9,5,4,2,18,-13,-20,-39,-44,-33,-20
-15,-21,-18,-22,-17,-11,-24,-26,-57,-40,-48,-66,-69,-90,-90,-97,-64,-46,-83,-76,-97,-100,-97,-85,-88,-64,-71,-65,-55,-53,-39,-34,-45,-71,-43,-51,-49,-40,-38,-51
-6,-8,15,3,15,20,17,2,-1,-2,-24,-20,-32,-33,-27,-40,-44,-38,-65,-49,-12,3,-1,6,-9,20,35,47,34,40,32,28,20,5,-8,-10,-35,-25,-27,-16
5,13,-9,-24,-30,-28,-10,-14,6,13,32,34,25,3,6,19,15,8,4,-12,-19,-21,-20,-20,-10,-8,20,25,53,42,51,48,57,67,34,15,-6,1,23,19
13,22,6,13,2,26,26,51,45,54,54,24,10,20,20,4,-5,-1,-15,0,-9,19,3,7,-15,-26,-34,-27,-13,-8,-13,0,13,15,24,31,17,29,20,11
3,-1,-2,7,24,21,27,24,28,35,26,31,41,43,69,61,50,25,39,52,52,66,69,74,77,84,86,128,111,84,68,52,46,44,41,50,56,68,96,115
-19,-53,-39,-66,-64,-63,-29,-30,-37,-32,-28,-26,-35,-53,-47,-67,-82,-61,-67,-68,-54,-58,-42,-47,-31,-21,-24,-36,-51,-55,-60,-66,-51,-55,-37,-44,-29,-36,-33,-18
-6,-12,19,34,28,38,34,45,67,43,59,82,83,110,113,95,62,58,69,75,81,73,76,52,41,30,38,38,22,22,12,3,17,19,25,39,43,51,62,80
8,30,30,30,56,49,50,64,67,89,105,110,99,108,88,92,105,109,122,154,168,173,183,190,171,165,184,184,193,179,180,190,170,176,174,160,160,132,101,84
-14,-31,-57,-52,-75,-73,-60,-60,-58,-63,-84,-85,-70,-43,-49,-73,-69,-63,-66,-83,-52,-86,-94,-113,-122,-116,-114,-124,-111,-102,-91,-97,-81,-70,-32,-15,3,4,-15,-20
-11,-19,-10,-17,-30,-36,-38,-31,-45,-39,-37,-17,-20,-21,-38,-58,-53,-56,-48,-61,-32,-29,-13,-16,-17,-7,2,-14,-36,-52,-73,-71,-77,-82,-102,-89,-82,-83,-67,-79
7,13,18,8,14,6,-6,-24,-8,-20,-22,-39,-43,-91,-107,-128,-142,-145,-149,-119,-127,-130,-153,-160,-179,-178,-165,-158,-168,-192,-170,-138,-136,-150,-132,-140,-146,-132,-153,-181
7,14,16,24,40,56,48,60,64,57,39,50,45,46,35,12,15,15,34,46,63,52,39,20,28,71,82,71,84,68,47,59,47,53,74,81,96,72,83,115
9,-14,-16,-23,-17,-10,-3,-8,-17,-25,-11,-39,-41,-37,-46,-38,-38,-52,-49,-52,-58,-68,-66,-94,-99,-106,-120,-109,-120,-111,-96,-97,-93,-82,-83,-74,-93,-75,-90,-117
21,21,28,23,9,-37,-27,-30,-33,-26,-47,-57,-39,-30,-48,-81,-89,-85,-70,-68,-85,-79,-96,-110,-119,-137,-141,-154,-157,-164,-169,-176,-157,-147,-146,-167,-191,-220,-180,-165
4,-10,-26,-17,7,-18,-24,-25,-54,-41,-47,-17,-23,-16,-32,-41,-58,-52,-32,-40,-33,-40,-38,-19,-17,-32,-44,-46,-48,-60,-57,-38,-41,-43,-76,-87,-107,-112,-104,-80
28,26,22,35,43,55,67,46,54,54,43,33,53,41,23,27,58,59,64,51,76,79,87,74,87,94,77,78,72,74,71,69,54,49,62,88,72,108,131,134
-4,-14,-1,-11,-17,-3,4,18,26,21,14,26,17,35,48,53,53,59,113,112,89,118,128,119,159,168,173,162,146,120,115,99,110,105,133,156,159,155,173,157
11,1,-4,-14,-4,-15,-31,-22,-28,-22,-26,-22,-60,-52,-24,-7,7,4,7,11,13,2,-3,-5,-12,1,40,21,23,2,22,44,20,50,34,38,55,58,93,135
3,-25,-30,-42,-53,-70,-68,-36,-46,-49,-31,-12,-5,11,25,20,27,23,10,20,22,20,25,40,47,50,55,56,45,58,79,72,101,99,96,83,72,58,64,89
9,22,43,6,4,10,21,2,-12,0,-1,8,-6,-30,-18,1,26,3,-16,-38,-38,-46,-26,-47,-73,-69,-51,-62,-81,-82,-106,-105,-92,-88,-116,-124,-128,-100,-86,-86
20,5,1,22,45,57,65,57,69,57,66,71,88,83,93,105,92,95,120,122,118,126,122,129,128,128,136,157,164,189,160,153,158,146,127,137,147,152,158,146
-7,-8,-18,-12,24,17,28,13,33,20,23,15,23,24,24,68,60,59,100,84,93,77,93,99,109,105,110,132,99,75,82,72,69,47,34,28,18,6,-0,-14
21,6,34,29,8,-1,14,31,34,38,49,27,19,-8,-14,1,12,47,50,19,44,64,56,60,72,79,90,89,89,91,79,101,102,113,101,85,84,81,100,109
9,-12,-26,-23,-27,-7,13,5,19,41,46,71,87,91,105,108,103,109,110,105,132,136,178,174,183,207,249,254,243,255,236,233,237,260,282,283,297,293,303,333
3,-1,-8,3,24,57,58,61,52,77,76,70,103,116,127,113,120,128,113,110,104,113,98,115,143,139,139,147,166,174,181,174,171,181,207,216,199,206,205,202
-3,-15,-20,-31,-36,-33,-30,-33,-34,-33,-26,-6,4,0,10,7,-19,-54,-79,-82,-91,-101,-100,-109,-118,-108,-96,-59,-54,-52,-60,-62,-63,-88,-92,-80,-88,-80,-64,-48
12,-21,-29,-15,-8,-8,-0,17,20,9,7,5,19,25,34,37,32,34,38,17,20,35,34,58,67,61,60,56,60,72,68,76,103,117,130,119,111,116,115,91
